start,end,Location,satisfaction,wait_mins,Gender,age_group,Language,Corruption,cooperative,Experiences or suggestions of citizens,duration_mins
2019-04-03 06:48:29.964000+00:00,2019-04-03 06:52:24.734000+00:00,KCCA (Naguru),3,5,Female,Between 30-50,Luganda,No,Very cooperative,My husband  refused to cater for my child  . I have been to all places where I can get help but have not been helped. I came here today hoping to get some help but unfortunately they told me to wait for my husband to come.He has been summoned many times but has never showed up. I have no money to speed up the process yet its only money that can help me in my situation,3.912833333
2019-04-03 06:54:07.302000+00:00,2019-04-03 07:03:28.215000+00:00,KCCA (Naguru),4,3,Male,Between 30-50,English,No,Very cooperative,"I have not had any challenges at all. The process is so simple and extremely fast.  The last time I came here, there were problems with networks but  this time I was shocked there was no technological breakdown",9.34855
2019-04-03 07:03:31.972000+00:00,2019-04-03 07:05:21.788000+00:00,KCCA (Naguru),5,3,Female,Under 30,English,No,Very cooperative,"I think this lady just liked my face. Before I entered, some ladies had told me that she was the toughest lady there. But shokingly she was super nice to me. We even laughed together",1.830266667
2019-04-03 07:05:26.464000+00:00,2019-04-03 07:10:14.632000+00:00,KCCA (Naguru),1,20,Female,Between 30-50,Luganda,No,Very cooperative,"Yesterday I found this lady busy talking on phone, laughing and taking juice. I decided to give her some time so that she can work on me.She did that for almost 40 minutes and then got out of her office and told me she was going for lunch. I sadly got out of the office and sat on the stairs. The town clerk found me their and asked what the problem was. I told her what had happened and she told me to come back today. When I came to the probation office today, the lady has been super rude to me and she told me I made a mistake of talking to the town clerk. Now I dont even know if she will help me since she is already biased.",4.8028
2019-04-03 07:30:39.647000+00:00,2019-04-03 07:31:59.999000+00:00,KCCA (Naguru),3,2,Male,Between 30-50,English,No,Very cooperative,I suggest that they educate us more about these tax rates because we don't understand what we pay for,1.3392
2019-04-03 07:32:03.794000+00:00,2019-04-03 07:35:03.579000+00:00,KCCA (Naguru),4,5,Female,Over 50,English,No,Very cooperative,I was treated so well. It is so rare to find someone working in a public office so kind and humble. This lady was so humble and down to earth. She even left her office to go and help me photocopy my documents for free,2.996416667
2019-04-04 10:03:08.208000+00:00,2019-04-04 10:12:44.187000+00:00,KCCA (Headquarters),4,5,Female,Under 30,Luganda,No,Very cooperative,The doctor's are really nice and kind. Plus I was not charged any money for their examination.,9.59965
2019-04-04 10:29:26.937000+00:00,2019-04-04 10:31:12.583000+00:00,KCCA (Headquarters),3,5,Male,Between 30-50,English,No,Very cooperative,Service was extremely fast. I was assessed in 2 minutes and they gave me a charge that I was supposed to pay to get the license,1.760766667
2019-04-04 10:31:36.963000+00:00,2019-04-04 10:42:50.633000+00:00,KCCA (Headquarters),4,5,Female,Between 30-50,Luganda,No,Very cooperative,"I came yesterday with all the necessities and the lady asked me to come back today to pick the birth certificate. By the time I got here, it was already there. I just signed and got it",11.22783333
2019-04-04 11:02:29.631000+00:00,2019-04-04 11:07:31.893000+00:00,KCCA (Headquarters),4,5,Male,Under 30,English,No,Very cooperative,"Am  not complaining about anything . Service was fast and the gentleman was willing to listen and corperate. Plus i like their atmosphere, its really condusive",5.0377
2019-04-04 11:07:35.585000+00:00,2019-04-04 11:09:01.438000+00:00,KCCA (Headquarters),3,10,Male,Between 30-50,English,No,Very cooperative,They let me see my friend. He was brought to court today though he was not released. But the court area smells so bad. They should really work on it,1.430883333
2019-04-04 11:09:04.963000+00:00,2019-04-04 11:11:37.408000+00:00,KCCA (Headquarters),4,2,Female,Under 30,Luganda,No,Very cooperative,Everything is perfect. I was examined quite well and the doctor advised me about certain health issues plus I was worked on for free.,2.54075
2019-04-04 11:11:41.137000+00:00,2019-04-04 11:13:44.414000+00:00,KCCA (Headquarters),3,1,Female,Between 30-50,English,No,Very cooperative,The taxes are really high and their is no room for bargaining. I wonder why they dont revise the tax policy in KCCA.It is so unfair,2.054616667
2019-04-04 11:13:48.676000+00:00,2019-04-04 11:15:43.681000+00:00,KCCA (Headquarters),4,10,Male,Over 50,English,No,Very cooperative,"The services were great reception was wonderful the whole process was very fast didn't have to wait for anything, he was told to comeback after two weeks",1.91675
2019-04-04 11:15:46.210000+00:00,2019-04-04 11:17:27.145000+00:00,KCCA (Headquarters),3,0,Male,Between 30-50,Luganda,No,Very cooperative,Had come for tax assessment says he was able to deliver all the required documents and is just waiting for their call,1.68225
2019-04-04 11:17:30.979000+00:00,2019-04-04 11:18:12.401000+00:00,KCCA (Headquarters),3,15,Male,Between 30-50,English,No,Uncooperative,Was able to the tax is happy with the service delivery,0.690366667
2019-04-04 11:18:27.685000+00:00,2019-04-04 11:23:33.170000+00:00,KCCA (Headquarters),4,5,Male,Between 30-50,Luganda,No,Very cooperative,The staff is so friendly. Unfortunately this year the tax rates have tremendously increased yet people are so poor and dont pay our rent on time. How do they even expect us to raise all that money,5.091416667
2019-04-04 11:26:47.660000+00:00,2019-04-04 11:31:14.420000+00:00,KCCA (Headquarters),4,0,Female,Between 30-50,Luganda,No,Neutral,Was unable to get the TIN number because she didn't carry her national ID that would have been used in the whole process,4.446
2019-04-04 11:32:02.607000+00:00,2019-04-04 11:35:34.259000+00:00,KCCA (Headquarters),4,2,Male,Between 30-50,Luganda,No,Very cooperative,I met with the human resource manager but he said he couldnt help me. He advised me to go to some organization and told me that it is where I was going to find what I wanted,3.527533333
2019-04-04 11:43:01.912000+00:00,2019-04-04 11:45:30.080000+00:00,KCCA (Headquarters),4,10,Male,Between 30-50,English,No,Very cooperative,Was worked on very fast since he found someone who knew him so he didn't have to wait for anything,2.469466667
2019-04-04 11:48:40.500000+00:00,2019-04-04 11:51:54.365000+00:00,KCCA (Headquarters),1,5,Male,Between 30-50,Luganda,No,Very cooperative,I was able to see the person but they have not told  us how to get him out. Everyone was just ignoring us until we just left. They just told us to wait for the next court session,3.231083333
2019-04-04 11:53:53.113000+00:00,2019-04-04 11:56:00.664000+00:00,KCCA (Headquarters),5,5,Female,Under 30,Luganda,No,Very cooperative,I usually come here every week and I have not been disappointed at any one point. The staff know wat they are doing ie are extremely knowledgeable,2.12585
2019-04-04 11:56:37.369000+00:00,2019-04-04 11:57:21.208000+00:00,KCCA (Headquarters),1,0,Male,Between 30-50,Luganda,No,Uncooperative,Didn't get what he wanted,0.73065
2019-04-04 11:58:45.446000+00:00,2019-04-04 12:02:34.708000+00:00,KCCA (Headquarters),4,5,Female,Between 30-50,Luganda,No,Very cooperative,The lady was not there at first so I had to wait for her to come. She then came in 10 minutes later and worked on me. She even apologised for the delay and worked on me fast,3.821033333
2019-04-04 12:02:42.364000+00:00,2019-04-04 12:05:31.226000+00:00,KCCA (Headquarters),4,0,Male,Between 30-50,English,No,Neutral,Was able to renew his trading license,2.814366667
2019-04-04 12:05:35.443000+00:00,2019-04-04 12:07:03.217000+00:00,KCCA (Headquarters),3,10,Male,Over 50,English,No,Neutral,"Was able to get the yellow fever vacation, everything was fast",1.4629
2019-04-04 12:09:06.206000+00:00,2019-04-04 12:10:59.170000+00:00,KCCA (Headquarters),5,1,Male,Between 30-50,English,No,Very cooperative,There is free wifi. The place looks so nice and condusive. Plus everyone is allowed to enter and read without asking you any questions,1.882733333
2019-04-04 12:13:45.426000+00:00,2019-04-04 12:16:39.185000+00:00,KCCA (Headquarters),3,0,Female,Under 30,English,No,Very cooperative,"I found the receptionist who was wearing a smile, I asked her if the intern posts were out and she told me that they will call me to confirm if I got",2.895983333
2019-04-04 12:24:17.225000+00:00,2019-04-04 12:25:53.568000+00:00,KCCA (Headquarters),3,5,Male,Between 30-50,English,No,Very cooperative,"It is a very simple process, you go they asses you, come back after paying  and then get a license. It is as simple as that",1.605716667
2019-04-04 12:27:08.009000+00:00,2019-04-04 12:28:51.865000+00:00,KCCA (Headquarters),4,5,Female,Over 50,English,No,Very cooperative,They worked on me fast . The document's that I  had come with were signed and I left the office a happy person,1.730933333
2019-04-04 12:28:56.388000+00:00,2019-04-04 12:30:21.995000+00:00,KCCA (Headquarters),3,5,Female,Under 30,Luganda,No,Very cooperative,These people have closed down our businesses without any warnings. They should warn us before they actually close  down our businesses,1.426783333
2019-04-05 06:49:59.852000+00:00,2019-04-05 06:51:44.656000+00:00,UG Police (Jinja Rd),2,2,Female,Between 30-50,Luganda,No,Very cooperative,"My husband has failed to cater for my child.  I reported him last month here but,up to now the police have not done anything to ensure that he provides for us",1.746733333
2019-04-05 06:51:48.949000+00:00,2019-04-05 07:01:29.936000+00:00,UG Police (Jinja Rd),5,5,Male,Between 30-50,English,No,Very cooperative,I was called by my phone tracker to identify my phone . I was actually shocked when he called me because I dint expect him to track it that fast. He is so good. Infact I had to give him something for his tremendous work,9.683116667
2019-04-05 07:11:16.397000+00:00,2019-04-05 07:12:41.375000+00:00,UG Police (Jinja Rd),3,5,Female,Under 30,English,No,Very cooperative,I came to apply for internship but the receptionist has told me to wait from outside. So am just here waiting for what they will say,1.4163
2019-04-05 07:15:54.364000+00:00,2019-04-05 07:18:04.804000+00:00,UG Police (Jinja Rd),3,1,Female,Between 30-50,Luganda,No,Very cooperative,"I have come late,so they have requested me to wait from outside until the visiting hours start. Unfortunately they don't even have any seats so I think they should put up some sitting area for those of us who are told to wait for them",2.174
2019-04-05 07:21:41.894000+00:00,2019-04-05 07:23:33.036000+00:00,UG Police (Jinja Rd),4,2,Male,Between 30-50,Luganda,Yes,Very cooperative,"The police are human beings like us and they also desire to have money. If you need their help , you also have to help them financially that way both parties get what they want in the shortest time",1.852366667
2019-04-05 07:41:47.392000+00:00,2019-04-05 07:43:50.616000+00:00,UG Police (Jinja Rd),4,3,Male,Between 30-50,Luganda,No,Very cooperative,"When I came here, I found my long time friend working here. So we have been working hand in hand to solve my case. But if I dint know anyone here, my case would not have reached the level at which it is now",2.053733333
2019-04-05 07:51:42.123000+00:00,2019-04-05 07:56:27.352000+00:00,UG Police (Jinja Rd),3,3,Male,Between 30-50,English,No,Very cooperative,I  have been following up on a case. Personally I have not been treated badly but I don't like the rate at which the case is moving. It is taking longer than it should,4.753816667
2019-04-05 07:56:31.007000+00:00,2019-04-05 07:58:11.674000+00:00,UG Police (Jinja Rd),3,5,Female,Under 30,English,No,Neutral,The tracker has just stepped out and he has told me that he will be here in 30 minutes,1.677783333
2019-04-05 08:24:55.720000+00:00,2019-04-05 08:27:40.503000+00:00,UG Police (Jinja Rd),3,5,Male,Between 30-50,Luganda,No,Very cooperative,"I suggest that SEMA carries out some research at katwe police station. People have died under police custody and no one has been punished for the deaths. Plus  their is no air circulation in those cells, you can easily suffocate from inside. People are greatly suffering at this station",2.746383333
2019-04-05 08:35:20.687000+00:00,2019-04-05 08:37:37.948000+00:00,UG Police (Jinja Rd),5,5,Female,Between 30-50,English,No,Very cooperative,I was robbed along kololo road yesterday. I came and reported the case  here and they played their cameras and saw the thief. He has been arrested today. Am so happy that the Ugandan police has come up with such innovations,2.287683333
2019-04-05 08:38:02.281000+00:00,2019-04-05 08:40:06.985000+00:00,UG Police (Jinja Rd),3,5,Male,Between 30-50,Luganda,No,Very cooperative,I suggest that they seperate the arrested suspects ie those accused of criminal cases and then social cases. It is so dangerous to mix a killer with someone who was arrested for failure to pay money,2.0784
2019-04-05 08:40:17.046000+00:00,2019-04-05 08:44:46.628000+00:00,UG Police (Jinja Rd),2,1,Female,Under 30,Luganda,No,Very cooperative,"Police policies are extremely wierd. They arrest and release the ""bayayes"" and drug addicts as well as those stealing from people at night . They do this because these people eat their food and use their water so it becomes a great expense to keep them in cells. But they keep normal people inside cells because they expect to get some money from them before they are released",4.493033333
2019-04-05 08:45:07.763000+00:00,2019-04-05 08:55:03.415000+00:00,UG Police (Jinja Rd),3,1,Male,Under 30,Luganda,No,Very cooperative,I just got released on bond. I was so angry because the police just came and grabbed me. It is so unfair that they dont let suspects make their own statements so that they can look at both partiesand evaluate the case. They are always one sided and dont give a suspect chance to explain themselves,9.927533333
2019-04-05 09:21:59.126000+00:00,2019-04-05 09:25:05.842000+00:00,UG Police (Wandegeya),2,180,Male,Between 30-50,Luganda,No,Very cooperative,I have come to be worked on but the OC traffic's office is closed and the officers keep on telling me to wait without telling me the right time the OC traffic is coming,3.111933333
2019-04-05 09:37:46.062000+00:00,2019-04-05 09:41:50.337000+00:00,UG Police (Wandegeya),5,0,Male,Between 30-50,English,No,Very cooperative,Was able to get the stamp he needed the OC was very fast,4.07125
2019-04-05 09:45:59.959000+00:00,2019-04-05 09:51:05.177000+00:00,UG Police (Wandegeya),2,15,Male,Between 30-50,Luganda,No,Very cooperative,My son got an accident and the officer has helped us meet the complainant and we are going to be compensated for,5.086966667
2019-04-05 09:51:09.232000+00:00,2019-04-05 09:54:28.107000+00:00,UG Police (Wandegeya),3,15,Male,Between 30-50,Luganda,No,Very cooperative,I have paid for the traffic penalty and I have been told to come later for the release form to take my vehicle,3.314583333
2019-04-05 09:54:31.848000+00:00,2019-04-05 09:58:21.866000+00:00,UG Police (Wandegeya),2,5,Male,Under 30,English,No,Very cooperative,I have come to get the police letter and the officer requested for lunch which I refused to give but I have finally got the letter,3.833633333
2019-04-05 09:59:49.782000+00:00,2019-04-05 10:01:35.110000+00:00,UG Police (Wandegeya),3,0,Female,Between 30-50,English,No,Very cooperative,Had come to report loss of her phone says the services were wonderful only that she doesn't know if these people will be able to track her phone,1.755466667
2019-04-05 10:15:16.449000+00:00,2019-04-05 10:17:40.670000+00:00,UG Police (Wandegeya),4,0,Male,Between 30-50,Luganda,No,Very cooperative,Was able to get a release form for his taxi says the services were slow because the person who had to write his release got was out but he came and was able to get back his car,2.403683333
2019-04-05 10:22:45.075000+00:00,2019-04-05 10:25:06.578000+00:00,UG Police (Wandegeya),3,10,Male,Between 30-50,Luganda,No,Very cooperative,"When the OC traffic  came and examined through my case and he saw that my case was minor , he gave me a release form for my car",2.358383333
2019-04-05 10:25:16.946000+00:00,2019-04-05 10:28:12.259000+00:00,UG Police (Wandegeya),4,0,Male,Between 30-50,Luganda,No,Neutral,The services were very good  even though the whole process is not yet done he is happy with how far they have reached,2.921883333
2019-04-05 10:28:16.246000+00:00,2019-04-05 10:32:20.063000+00:00,UG Police (Wandegeya),2,20,Male,Under 30,English,Yes,Very cooperative,"Had come to track his phone says the person who is the worked on how s asked him to pay 100000shs for his phone to be tracked, when he came back today the he was told to pay another 50000, it's his first time at the station but he feels very disappointed by the services delivered by this Station",4.063616667
2019-04-05 10:32:36.434000+00:00,2019-04-05 10:35:16.548000+00:00,UG Police (Wandegeya),3,10,Female,Under 30,English,No,Neutral,Was able to report loss of her phone and was given a police letter so that she can replace her simcard,2.668566667
2019-04-05 10:38:44.092000+00:00,2019-04-05 10:39:50.294000+00:00,UG Police (Wandegeya),3,5,Female,Between 30-50,Luganda,No,Very cooperative,I wanted to see the suspect and I have been told he to gone later since to get isn't in charge of the custody office isn't around,1.103366667
2019-04-05 10:40:01.661000+00:00,2019-04-05 10:42:01.272000+00:00,UG Police (Wandegeya),4,10,Male,Between 30-50,Luganda,No,Very cooperative,"Was able to get the police letter,he is happy with the service delivery since everything was done very fast",1.993516667
2019-04-05 10:45:14.777000+00:00,2019-04-05 10:49:47.120000+00:00,UG Police (Wandegeya),4,20,Male,Under 30,Luganda,No,Very cooperative,Was able to see the suspect says the person has been in cells for a week now without going to the court and the station is not giving her information about the situation she's just waiting for their word on the matter,4.53905
2019-04-05 11:06:15.242000+00:00,2019-04-05 11:07:35.635000+00:00,UG Police (Wandegeya),3,15,Female,Under 30,Luganda,No,Neutral,Had come to get a police letter to replace her ID,1.339883333
2019-04-05 11:16:19.825000+00:00,2019-04-05 11:19:17.279000+00:00,UG Police (Wandegeya),2,30,Male,Between 30-50,Luganda,No,Very cooperative,I had an accident and came to report. The officer that first worked on me stopped in the middle and handed me to another officer who took his sweet time to work on me,2.957566667
2019-04-05 11:19:21.213000+00:00,2019-04-05 11:20:05.747000+00:00,UG Police (Wandegeya),3,5,Female,Between 30-50,English,No,Neutral,The services have been good and the OC station has been welcoming,0.742233333
2019-04-05 11:27:47.475000+00:00,2019-04-05 11:30:39.283000+00:00,UG Police (Wandegeya),3,0,Male,Between 30-50,Luganda,No,Uncooperative,Had come to get a receipt so as to pay for the traffic fine,2.863466667
2019-04-05 11:30:43.411000+00:00,2019-04-05 11:32:16.147000+00:00,UG Police (Wandegeya),3,30,Female,Under 30,Luganda,No,Neutral,Has waited for the OC CID but has not yet seen the person,1.5456
2019-04-05 11:32:29.456000+00:00,2019-04-05 11:33:55.074000+00:00,UG Police (Wandegeya),3,5,Female,Between 30-50,English,No,Neutral,I was helped immediately I got her because I came on appointment,1.426966667
2019-04-08 08:34:49.549000+00:00,2019-04-08 08:44:55.666000+00:00,KCCA (Headquarters),3,30,Male,Under 30,Luganda,No,Neutral,"He came to visit a suspect. He was told that his case was being worked upon so had to be patient, however his patience was running out as he had been following up on the case for almost 2 weeks without any progress. He noted that one is worked on depending on the size of his pocket which is really unfair to poor citizens like him.",10.10195
2019-04-08 08:21:33.943000+00:00,2019-04-08 08:26:00.312000+00:00,KCCA (Headquarters),5,10,Female,Between 30-50,English,No,Very cooperative,He came for a trading license. He had paid so had come to finalize. The service was fast as he didn't wait in line and was done within 15 minutes. He said there has been a bit of improvement in service delivery in that department as they used to be extremely slow on top of the procedure being long.  He is happy with the progress.,4.439483333
2019-04-08 08:45:21.665000+00:00,2019-04-08 08:47:52.925000+00:00,KCCA (Headquarters),3,10,Male,Under 30,English,No,Neutral,He came for a trading license. He noted that the procedure is really long as payments are made outside the office and one has to come back to the office to present the payslip for a final stamp. He suggested that the process is centralized to quicken the service.,2.521
2019-04-08 08:15:57.008000+00:00,2019-04-08 08:20:51.460000+00:00,KCCA (Headquarters),2,2,Female,Between 30-50,English,No,Neutral,She came to visit the employment bureau. She was told that it wasn't at this station yet she had earlier on asked a passer by and told it was at City Hall. She was very dissapointed because she has waited time in waiting and had was now time bad.  She was too frustrated to say anything more.,4.907533333
2019-04-08 08:07:04.967000+00:00,2019-04-08 08:12:09.848000+00:00,KCCA (Headquarters),3,5,Female,Between 30-50,English,No,Very cooperative,"She didn't like the service as it was too expensive because she was told to pay 100,000 for renewal yet in media, the service is said to be free of charge. She had to pay because it was an emergency but was very bitter about the way government conducts it's business because the rate of corruption increases day by day despite them saying that it's reducing. She suggested there being transparency in the services",5.08135
2019-04-08 08:12:21.166000+00:00,2019-04-08 08:15:16.129000+00:00,KCCA (Headquarters),4,2,Female,Between 30-50,English,No,Neutral,She came to get a trading license. She was worked upon but the lady that was working on her seemed to be doing worked 3 people at the same time because she was up and down which made her spend close to 40 minutes in the process. That was the only hindrance and suggested there being more staff as the office seemed understaffed.,2.91605
2019-04-08 07:27:25.872000+00:00,2019-04-08 07:29:16.826000+00:00,KCCA (Central Division),3,30,Female,Between 30-50,English,No,Neutral,I have been working on my license and the staff has been cooperative only that we have been many and it had to take long,1.849233333
2019-04-08 07:38:16.632000+00:00,2019-04-08 07:40:00.650000+00:00,KCCA (Central Division),3,5,Male,Between 30-50,Luganda,No,Very cooperative,I had just come and I have got what I wanted otherwise if it were providing money then I would give it as an appreciation,1.733633333
2019-04-08 07:40:06.434000+00:00,2019-04-08 07:42:08.931000+00:00,KCCA (Central Division),4,30,Male,Between 30-50,English,No,Very cooperative,"Had come for tax assessment, he says s services are good only that he had to wait for 30minutes to be worked on",2.041616667
2019-04-08 07:42:50.579000+00:00,2019-04-08 07:43:54.778000+00:00,KCCA (Central Division),3,3,Male,Between 30-50,English,No,Very cooperative,There are so many changes in the system and this has exposed it to alot of loopholes,1.069983333
2019-04-08 07:44:00.714000+00:00,2019-04-08 07:46:26.153000+00:00,KCCA (Central Division),2,5,Female,Under 30,Luganda,No,Very cooperative,They told me to get my previous years license because the system was not displaying my business name,2.423983333
2019-04-08 07:46:29.849000+00:00,2019-04-08 07:48:32.831000+00:00,KCCA (Central Division),4,1,Female,Under 30,Luganda,No,Very cooperative,I was worked in as soon as I entered. The people inside we're really friendly and it took me only 5 minutes to get done with everything,2.0497
2019-04-08 07:59:32.017000+00:00,2019-04-08 08:03:55.248000+00:00,KCCA (Central Division),2,3,Male,Under 30,English,No,Very cooperative,I suggest that they increase on the number of financial institutions so that it becomes easier for us to pay for it,4.387183333
2019-04-08 08:03:58.273000+00:00,2019-04-08 08:05:44.557000+00:00,KCCA (Central Division),1,5,Male,Between 30-50,Luganda,No,Very cooperative,I have been processing for the license since Friday. I have been going to DTB for three days. I even tried their customer care but don't receive any help. It is only today when I finally was able to get assessed.,1.7714
2019-04-08 08:05:50.908000+00:00,2019-04-08 08:07:16.002000+00:00,KCCA (Central Division),2,2,Female,Between 30-50,Luganda,No,Very cooperative,They should revise their methods of assessing tax rates because they are unfair to people with smaller houses compared to people who own flats and estates,1.418233333
